,Unnamed: 0,Object Name,Reasonable Frequencies,Total Root Number,Total oscillatory Root Number,Period,Upperbound,Lowerbound,Nu Values,Evidence,Oscillatory_Stat,Identifier,CAR1_Evidence,Log_Bayes_Factor
0,0,UM269,669.0,3689.0,462.0,18.230337247365505,96.91505961068157,-15.737438649054766,0.7850278647501869,253.96,0.18134995933857412,1,255.56,-1.6
1,1,SDSSJ005158.83-002054.1,1677.0,4462.0,226.0,416.18584701521246,420.23468904778485,-384.6087817038842,1.3810124330401077,-45.82,0.3758404303003138,1,-45.51,-0.31
2,2,SDSSJ005453.30-003258.3,1809.0,4695.0,514.0,289.5743559471948,1245.1067438794926,-283.94882842125236,1.3895049440560618,-63.99,0.3853035143769968,1,-64.17,0.18
3,3,SDSSJ023050.06+005843.1,2027.0,4588.0,163.0,2571.737355430599,3617.768938573374,-1122.024729126196,0.959759704603789,207.41,0.4418047079337402,1,207.09,0.32
4,4,SDSSJ024442.77-004223.2,3455.0,6087.0,200.0,1302.8184576294727,470.16901209673694,-347.0846141571725,1.270967329033232,-71.59,0.5676030885493675,1,-72.02,0.43
5,5,SDSSJ104648.62+513912.6,1258.0,4534.0,459.0,49.885811865771544,234.2916143016944,-47.13348378034818,1.0736274457517605,26.43,0.2774591971768858,1,27.49,-1.06
6,6,SDSSJ132815.49+361715.9,573.0,3595.0,733.0,9.50963194050999,269.6935584222731,-7.473873043839241,0.7852644991385345,311.09,0.15938803894297635,1,312.04,-0.95
7,7,SDSSJ133254.51+371735.5,1567.0,4139.0,98.0,6218.481129537705,8456.556236476274,-3031.050645858629,1.195505037287743,-59.83,0.3785938632519932,1,-59.65,-0.18
8,8,SDSSJ133840.66+315936.4,1497.0,3944.0,458.0,269.40009211087454,2180.5458167178517,-263.3859218341166,1.450850251962272,-102.04,0.37956389452332656,1,-101.99,-0.05
9,9,SDSSJ134553.57+334336.0,1533.0,4084.0,1203.0,21.65138766901713,292.9486012752668,-19.229912675769047,1.2699608147979833,-69.87,0.3753672869735553,1,-70.01,0.14
10,10,SDSSJ134556.16+343224.5,1144.0,3769.0,401.0,1458.3757583886206,2692.043099589093,-1452.3315397385095,1.4205504648420595,-81.49,0.3035287874767843,1,-80.71,-0.78
11,11,SDSSJ140929.76+535930.2,1391.0,3336.0,1110.0,28.36821102080216,527.2533043274915,-25.73146140835861,1.5338052508975284,-33.85,0.4169664268585132,1,-33.7,-0.15
12,12,SDSSJ141004.41+334945.5,1489.0,5381.0,460.0,395.9511299706404,223.17575480188538,-257.6972560533981,1.032008687474132,120.16,0.2767143653595986,1,119.92,0.24
13,13,SDSSJ141244.09+421257.6,1348.0,3939.0,215.0,579.4951829920831,7513.876243936463,-567.3640665269114,1.2991227971657289,-50.66,0.34221883726834224,1,-50.27,-0.39
14,14,TEX1428+370,1326.0,4793.0,1151.0,21.988832299688404,370.4493976048983,-19.49000156966638,1.3531056512462163,-70.53,0.276653452952222,1,-70.31,-0.22
15,15,SDSSJ143637.44+090155.5,926.0,4132.0,472.0,170.82752417263612,916.4843665873752,-167.31664474098542,1.130468995512661,45.77,0.22410454985479186,1,46.1,-0.33
16,16,SDSSJ145713.26+140334.1,1800.0,5978.0,1862.0,5.294948439794297,11.867714947678552,-3.7134443802240162,1.3063156860161875,-9.75,0.3011040481766477,1,-9.33,-0.42
17,17,SDSSJ145859.07+153144.7,805.0,3888.0,208.0,2522.535256288501,3663.250941798575,-2260.236776457707,0.8648321124914399,302.64,0.20704732510288065,1,302.17,0.47
18,18,FBQSJ150911.2+215508,514.0,4108.0,324.0,638.0198841586064,4901.4213677745365,-635.0846609408901,0.2671121677114695,829.76,0.12512171372930864,1,831.48,-1.72
19,19,SDSSJ150912.07+204004.6,2147.0,5673.0,1259.0,6.349109733105372,13.647545388971395,-4.799419775333712,0.8861341828017193,162.57,0.3784593689405958,1,162.61,-0.04
20,20,SDSSJ151053.24+240943.3,1113.0,4430.0,428.0,96.40244151560871,298.0907020042232,-93.53527662078189,1.1743874442187592,-84.3,0.2512415349887133,1,-83.54,-0.76
21,21,SDSSJ151243.67+195845.1,1323.0,4289.0,1053.0,10.502804665370947,102.66998599364136,-8.488511724049351,0.7533907487762129,272.24,0.3084635113079972,1,272.88,-0.64
22,22,SDSSJ151646.10+221724.7,971.0,4122.0,220.0,1795.1880785508615,1396.334542775594,-1509.8189664237887,1.2521477720275689,11.05,0.23556525958272684,1,10.8,0.25
23,23,SDSSJ152739.97+413234.6,1836.0,4977.0,892.0,14.620988789936256,28.049329197189003,-12.0495811490222,0.9895188861949268,120.93,0.3688969258589512,1,121.1,-0.17
24,24,SDSSJ152903.11+223623.8,1572.0,4886.0,768.0,16.502713984270972,313.7043636699532,-14.218592911782643,1.2334263633088665,-40.43,0.32173557101923866,1,-39.81,-0.62
25,25,SDSSJ153051.79+503440.1,2459.0,5516.0,864.0,18.36405120335134,979.2237858366155,-16.337491009269936,1.3915464603999237,-61.72,0.445794053662074,1,-61.98,0.26
26,26,SDSSJ153251.06+335852.2,850.0,3721.0,739.0,8.430676880616241,147.72236913420568,-6.492360993547303,0.8805347594009992,162.5,0.22843321687718354,1,163.52,-1.02
27,27,PDS898,1401.0,4880.0,1204.0,22.10645273488252,3289.0465072319403,-19.360720989806726,1.0624940384011496,22.45,0.2870901639344262,1,22.75,-0.3
28,28,SDSSJ160322.68+200535.2,885.0,3995.0,448.0,61.11272052409621,3600.5171662633034,-57.592262099299184,1.359328155419644,-81.36,0.22152690863579474,1,-80.57,-0.79
